년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2022-01,AAL,AA,아메리칸항공,국제,DFW,도착,정기,여객,2725,17,132,148646,0,21973,63814
2022-01,AAL,AA,아메리칸항공,국제,DFW,도착,부정기,화물,0,0,0,394752,0,12163,0
2022-01,AAL,AA,아메리칸항공,국제,DFW,출발,정기,여객,3703,26,107,229536,0,18442,86073
2022-01,AAL,AA,아메리칸항공,국제,DFW,출발,부정기,화물,0,0,0,185997,0,5618,0
2022-01,AAL,AA,아메리칸항공,국제,LAX,도착,부정기,화물,0,0,0,436208,0,53132,0
2022-01,AAL,AA,아메리칸항공,국제,PVG,출발,부정기,화물,0,0,0,409138,0,0,0
2022-01,AAR,OZ,아시아나항공,국내,CJU,도착,부정기,여객,175,2,0,0,0,0,1120
2022-01,AAR,OZ,아시아나항공,국제,ALA,도착,정기,여객,38,1,0,0,0,0,807
2022-01,AAR,OZ,아시아나항공,국제,ALA,출발,정기,여객,54,1,14,543,328,0,2260
2022-01,AAR,OZ,아시아나항공,국제,ANC,도착,정기,화물,0,0,0,388628,135758,0,0
2022-01,AAR,OZ,아시아나항공,국제,ANC,도착,부정기,화물,0,0,0,72250,0,0,0
2022-01,AAR,OZ,아시아나항공,국제,ANC,출발,정기,화물,0,0,0,963,0,0,0
2022-01,AAR,OZ,아시아나항공,국제,ATL,도착,정기,화물,0,0,0,429857,153633,0,0
2022-01,AAR,OZ,아시아나항공,국제,ATL,도착,부정기,화물,0,0,0,338352,124790,0,0
2022-01,AAR,OZ,아시아나항공,국제,ATL,출발,정기,화물,0,0,0,481825,277105,0,0
2022-01,AAR,OZ,아시아나항공,국제,ATL,출발,부정기,화물,0,0,0,645756,4441,0,0
2022-01,AAR,OZ,아시아나항공,국제,BKK,도착,정기,여객,1058,14,516,427402,99658,31939,35956
2022-01,AAR,OZ,아시아나항공,국제,BKK,도착,부정기,화물,0,0,0,94724,0,2657,0
2022-01,AAR,OZ,아시아나항공,국제,BKK,출발,정기,여객,653,5,307,304129,91512,0,21040
2022-01,AAR,OZ,아시아나항공,국제,BKK,출발,부정기,화물,0,0,0,28359,7435,0,0
2022-01,AAR,OZ,아시아나항공,국제,BLR,도착,부정기,여객,108,0,0,0,0,0,1188
2022-01,AAR,OZ,아시아나항공,국제,BLR,출발,부정기,여객,97,1,0,1453,0,0,6070
2022-01,AAR,OZ,아시아나항공,국제,BRU,도착,정기,화물,0,0,0,924174,111641,0,0
2022-01,AAR,OZ,아시아나항공,국제,BRU,출발,정기,화물,0,0,0,927,0,0,0
2022-01,AAR,OZ,아시아나항공,국제,CAN,도착,정기,화물,0,0,0,712129,543172,11071,0
2022-01,AAR,OZ,아시아나항공,국제,CAN,도착,부정기,화물,0,0,0,266547,231341,2726,0
2022-01,AAR,OZ,아시아나항공,국제,CAN,도착,부정기,여객,46,0,0,0,0,0,2210
2022-01,AAR,OZ,아시아나항공,국제,CAN,출발,부정기,여객,150,0,0,0,0,0,5109
2022-01,AAR,OZ,아시아나항공,국제,CGK,도착,정기,여객,1192,2,26,115700,51060,12542,25956
2022-01,AAR,OZ,아시아나항공,국제,CGK,도착,부정기,화물,0,0,0,10080,1639,986,0
2022-01,AAR,OZ,아시아나항공,국제,CGK,출발,정기,여객,1237,4,81,154002,35151,0,53879
2022-01,AAR,OZ,아시아나항공,국제,CGK,출발,부정기,화물,0,0,0,55873,13869,0,0
2022-01,AAR,OZ,아시아나항공,국제,CGQ,도착,정기,여객,471,3,79,0,0,0,11933
2022-01,AAR,OZ,아시아나항공,국제,CGQ,출발,정기,여객,1326,9,0,0,0,0,31011
2022-01,AAR,OZ,아시아나항공,국제,CKG,도착,정기,화물,0,0,0,56264,28269,0,0
2022-01,AAR,OZ,아시아나항공,국제,CTU,도착,정기,여객,232,0,241,634,12,605,14148
2022-01,AAR,OZ,아시아나항공,국제,CTU,출발,정기,여객,365,3,2,106,0,0,10921
2022-01,AAR,OZ,아시아나항공,국제,CXR,도착,부정기,여객,4,0,0,0,0,0,271
2022-01,AAR,OZ,아시아나항공,국제,CXR,출발,부정기,여객,44,0,39,102,0,0,2063
2022-01,AAR,OZ,아시아나항공,국제,DEL,도착,부정기,여객,318,1,0,0,0,0,8790
2022-01,AAR,OZ,아시아나항공,국제,DEL,출발,부정기,여객,322,0,0,14179,0,0,14526
2022-01,AAR,OZ,아시아나항공,국제,DFW,출발,정기,화물,0,0,0,769523,492966,0,0
2022-01,AAR,OZ,아시아나항공,국제,DME,출발,정기,화물,0,0,0,203222,111743,0,0
2022-01,AAR,OZ,아시아나항공,국제,FRA,도착,정기,화물,0,0,0,2185855,221325,0,0
2022-01,AAR,OZ,아시아나항공,국제,FRA,도착,정기,여객,947,16,56,417069,58148,0,28828
2022-01,AAR,OZ,아시아나항공,국제,FRA,도착,부정기,화물,0,0,0,291059,14403,0,0
2022-01,AAR,OZ,아시아나항공,국제,FRA,출발,정기,화물,0,0,0,776100,484849,3917,0
2022-01,AAR,OZ,아시아나항공,국제,FRA,출발,정기,여객,1416,24,62,228313,113906,6518,45264
2022-01,AAR,OZ,아시아나항공,국제,FRA,출발,부정기,화물,0,0,0,178320,121069,2015,0
